publishedDateTime,resourceId,assessProperties_patchId,assessProperties_patchName,assessProperties_version,assessProperties_kbId,rebootRequired,osType,classification,msrcSeverity,classificationPriority,count_
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,iwl100-firmware.noarch_39.31.5.1-83.el7_9_CentOS Linux_7.9.2009,iwl100-firmware.noarch,39.31.5.1-83.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,dhcp-common.x86_64_12_4.2.5-83.el7.centos.2_CentOS Linux_7.9.2009,dhcp-common.x86_64,12:4.2.5-83.el7.centos.2,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-common.noarch_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-common.noarch,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-efi-x64.x86_64_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-efi-x64.x86_64,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,systemd-libs.x86_64_219-78.el7_9.9_CentOS Linux_7.9.2009,systemd-libs.x86_64,219-78.el7_9.9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-tools-minimal.x86_64_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-tools-minimal.x86_64,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,sssd-client.x86_64_1.16.5-10.el7_9.16_CentOS Linux_7.9.2009,sssd-client.x86_64,1.16.5-10.el7_9.16,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,grub2-pc-modules.noarch_1_2.02-0.87.0.2.el7.centos.14_CentOS Linux_7.9.2009,grub2-pc-modules.noarch,1:2.02-0.87.0.2.el7.centos.14,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,python-libs.x86_64_2.7.5-94.el7_9_CentOS Linux_7.9.2009,python-libs.x86_64,2.7.5-94.el7_9,,N/A,Linux,Other,NotAvailable,2,1
N/A,/subscriptions/166157a8-9ce9-400b-91c7-1d42482b83d6/resourcegroups/aks-rg/providers/microsoft.compute/virtualmachines/centos7.9,openssl-libs.x86_64_1_1.0.2k-26.el7_9_CentOS Linux_7.9.2009,openssl-libs.x86_64,1:1.0.2k-26.el7_9,,N/A,Linux,Other,NotAvailable,2,1
